Ā. L.	Ānandalaharī.
Vb.	Viddhaśālabhañjikā, (Bombay).
Vbh.	Vaidikābharaṇa (a commentary on तै˚ प्रातिशाख्य).
Ve.	Veṇīsaṃhāra, (A. B. Gajendragadkar. 1941).
Vedānta P.	Vedāntaparibhāṣā.
Vet.	Vetālapañcaviṁśati.
Vid.	Vidagdhamukhamaṇḍana.
Vikr.	Vikramāṅkadevacarita, (Bombay).
Vīr. M.	Vīramitrodaya.
Viś. Guṇā.	Viśvaguṇādarśacampū, (Nirṇaya Sāgara, 1915).
Vop.	Vopadeva.
Vp.	Vājasaneyi Prātiśākhya.
Vṛnd. Ś.	Vṛndāvanaśataka.
Wilson	Wilson Sanskrit-English Dictionary
Y.	Yājñavalkya Smṛti, (Nirṇaya Sāgara, 1926).
Yaj.	Yajurveda (Pandit Satawalekar ed.)
Yoga S.	Yogasūtras.
Yv.	Yajurveda (Pandit Satawalekar ed.)
