Irl.	<id>Irl.</id> <disp>irlandais</disp>
irl.	<id>irl.</id> <disp>irlandais</disp>
irland.	<id>irland.</id> <disp>irlandais</disp>
Irland.	<id>Irland.</id> <disp>Irlandais</disp>
lat.	<id>lat.</id> <disp>latin</disp>
Lat.	<id>Lat.</id> <disp>latin</disp>
lith.	<id>lith.</id> <disp>lithuanien</disp>
Lith.	<id>Lith.</id> <disp>lithuanien</disp>
l.	<id>l.</id> <disp>locatif</disp>
L.	<id>L.</id> <disp>locatif</disp>
logiq.	<id>logiq.</id> <disp>logique</disp>
m.	<id>m.</id> <disp>masculin</disp>
M.	<id>M.</id> <disp>Masculin</disp>
mms.	<id>mms.</id> <disp>même signification</disp>
Mms.	<id>Mms.</id> <disp>Même signification</disp>
m. à m.	<id>m. à m.</id> <disp>mot à mot</disp>
m à m.	<id>m à m.</id> <disp>mot à mot</disp>
moy.	<id>moy.</id> <disp>moyen</disp>
Moy.	<id>Moy.</id> <disp>Moyen</disp>
M§	<id>M§</id> <disp>voir notre Méthode sanscrite, paragraphe</disp>
M§§	<id>M§§</id> <disp>voir notre Méthode sanscrite, paragraphes</disp>
n.	<id>n.</id> <disp>neutre</disp>
N.	<id>N.</id> <disp>Neutre</disp>
N.-O.	<id>N.-O.</id> <disp>nord-ouest</disp>
nég.	<id>nég.</id> <disp>négatif</disp>
np.	<id>np.</id> <disp>nom propre</disp>
Np.	<id>Np.</id> <disp>Nom propre</disp>
o.	<id>o.</id> <disp>optatif</disp>
oppos.	<id>oppos.</id> <disp>opposition</disp>
ordint.	<id>ordint.</id> <disp>ordinairement</disp>
orth.	<id>orth.</id> <disp>orthographe</disp>
orthog.	<id>orthog.</id> <disp>orthographe</disp>
orthogr.	<id>orthogr.</id> <disp>orthographe</disp>
p.	<id>p.</id> <disp>parfait</disp>
part.	<id>part.</id> <disp>particule</disp>
ps.	<id>ps.</id> <disp>passif</disp>
Ps.	<id>Ps.</id> <disp>passif</disp>
pf.	<id>pf.</id> <disp>participe futur</disp>
pfx.	<id>pfx.</id> <disp>préfixe</disp>
pl.	<id>pl.</id> <disp>pluriel</disp>
polon.	<id>polon.</id> <disp>polonais</disp>
pp.	<id>pp.</id> <disp>participe passé</disp>
Pp.	<id>Pp.</id> <disp>Participe passé</disp>
ppf.	<id>ppf.</id> <disp>participe parfait</disp>
ppr.	<id>ppr.</id> <disp>participe présent</disp>
pqp.	<id>pqp.</id> <disp>plus-que-parfait</disp>
Pr.	<id>Pr.</id> <disp>Présent</disp>
pr.	<id>pr.</id> <disp>Présent</disp>
prép.	<id>prép.</id> <disp>préposition</disp>
priv.	<id>priv.</id> <disp>privatif</disp>
pron.	<id>pron.</id> <disp>pronom</disp>
ppt.	<id>ppt.</id> <disp>proprement</disp>
pers.	<id>pers.</id> <disp>personne</disp>
1p.	<id>1p.</id> <disp>1er personne</disp>
2p.	<id>2p.</id> <disp>2e personne, etc</disp>
3p.	<id>3p.</id> <disp>3e personne, etc</disp>
qconque.	<id>qconque.</id> <disp>quelconque</disp>
qconque	<id>qconque</id> <disp>quelconque</disp>
qconques	<id>qconques</id> <disp>quelconques</disp>
qq.	<id>qq.</id> <disp>quelques</disp>
qqc.	<id>qqc.</id> <disp>quelque chose</disp>
qqf.	<id>qqf.</id> <disp>quelquefois</disp>
Qqf.	<id>Qqf.</id> <disp>quelquefois</disp>
qqn.	<id>qqn.</id> <disp>quelqu’un</disp>
red.	<id>red.</id> <disp>redoublement</disp>
s-ent.	<id>s-ent.</id> <disp>sous-entendu</disp>
sg.	<id>sg.</id> <disp>singulier</disp>
subj.	<id>subj.</id> <disp>subjonctif</disp>
s.	<id>s.</id> <disp>substantif</disp>
sax.	<id>sax.</id> <disp>saxon</disp>
S.	<id>S.</id> <disp>substantif</disp>
sfx.	<id>sfx.</id> <disp>suffixe</disp>
sup.	<id>sup.</id> <disp>superlatif</disp>
slav.	<id>slav.</id> <disp>slave</disp>
surn.	<id>surn.</id> <disp>surnom</disp>
Surn.	<id>Surn.</id> <disp>Surnom</disp>
sync.	<id>sync.</id> <disp>syncope</disp>
t.	<id>t.</id> <disp>terme</disp>
t. d'arithm.	<id>t. d'arithm.</id> <disp>terme d’arithmétique</disp>
tg.	<id>tg.</id> <disp>terme grammatical</disp>
Tg.	<id>Tg.</id> <disp>terme grammatical</disp>
th.	<id>th.</id> <disp>thème</disp>
tr.	<id>tr.</id> <disp>très</disp>
Vd.	<id>Vd.</id> <disp>Véda, védique</disp>
vd.	<id>vd.</id> <disp>védique</disp>
v.	<id>v.</id> <disp>vocatif</disp>
zd.	<id>zd.</id> <disp>zend</disp>
Zd.	<id>Zd.</id> <disp>zend</disp>
(?)	<id>(?)</id> <disp>douteux</disp> <info>no period</info>
