Ait. Br.	Aitareya Brāhmaṇa.
Varāh. Bṛh. S.	Varāhamihira’s Bṛhatsaṃhitā.
Vedānt.	Vedānta (Vedāntasāra etc.).
Vedāntas.	Vedāntasāra, in my Chrestomathy.
Vetālap.	Vetālapañcaviṃśati.
Vetālapañcav.	Vetālapañcaviṃśati.
Vikr.	Vikramorvaśī, ed. Bollensen.
Viṣṇu P.	Viṣṇu Purāṇa.
Vop.	Vopadeva, ed. Böhtlingk.
Vāmanap.	Vāmanapurāṇa.
Vārt.	Vārtika.
Vāsav.	Vāsavadattā, ed. Fitz-Edward Hall.
Vāsavad.	Vāsavadattā, ed. Fitz-Edward Hall.
Yoga.	Yoga(sūtra).
Yogas.	Yogasūtrāṇi, ed. Allahabad, 1852-53.
Yājñ.	Yājñavalkya, ed. Stenzler.
cod. Berol.	codex Berolinensis (Berlin manuscript).
cod. Petersb.	codex Petropolitanus (St. Petersburg manuscript).
pr.	prologue.
Ānandal.	Ānandalaharī, in Häberlin’s Sanskrit Anthology.
Āśval. S.	Āśvalāyana Śrauta Sūtra.
Āśvalāy. Gṛhyas.	Āśvalāyana Gṛhya Sūtra.
ŚKD.	Śabdakalpadruma.
Śakuntalop.	Śakuntalopākhyāna, an episode of the MBh..
Śatr.	Śatruṃjayamāhātmya, ed. A. Weber.
Śiś.	Śiśupālavadha, 2. ed. Calc.; the ninth book in my Chr.
Śrut.	Śrutabodha, ed. Brockhaus.
Śrutab.	Śrutabodha, ed. Brockhaus.
Śukas.	Śukasaptati (MSS. of St. Petersburg).
Śukasapt.	Śukasaptati (MSS. of St. Petersburg).
Śvet. Up.	Śvetāśvataropaniṣad, in Bibliotheca Indica.
Śāk.	Śākuntala, ed. Böhtlingk.
Śāntiś.	Śāntiśataka, in Häberlin’s Sanskrit Anthology.
Śārṅg.	Śārṅgadhara-Paddhati (MSS. used by Böhtl.).
Śātr.	Śatruṃjayamāhātmya, ed. A. Weber.
Śāṇḍilyas.	Śāṇḍilyasūtra.
Śṛṅgārat.	Śṛṅgāratilaka, ed. Gildemeister, in his edition of the Meghadūta.
Ṛt.	Ṛtusaṃhāra, ed. Bohlen, the first chapter also in Lass., the sixth in my Chrestomathy.
